affiliations,age,birthday,blood_type,bounty,devil_fruit_name,devil_fruit_type,height,name,occupations,origin,status,weight
A O Pirates,,January 15th,,,,,,A.O. (VIZ Media and FUNimation subs);,Pirate,,Unknown,
Arabasta Kingdom,,,,,,,,Kicking Claw Force; Elite Alabastian Royal Guards,Guards,,Deceased,
Arlong Pirates,39 (debut),May 3rd,F,,,,"263 cm (8'7"")",Arlong,Pirate,Grand Line,Alive,
Neutral civilian,,,,,,,,Aswa,,,Unknown,
Marines,,,,,,,,Heercomes Dasun,Chief Petty Officer,,Alive,
,,,,,,,,N/A,Soba Shop Owner,,Alive,
Lvneel,,,,,,,,N/A,King,North Blue,Deceased,
,,,,,,,,N/A,Sumo Wrestler,,Alive,
Mt. Atama Thieves,,April 10th,X,,,,"544 cm (17'10½"")",Ashura Doji,Bandit,Grand Line,Deceased,
Corrida Colosseum,,,,,,,,Peekatha Krotch,,,Alive,
Whitebeard Pirates,,,,,,,,Arthur,Pirate,,Alive,
Kuja,,August 1st,,,,,,Aphelandra,"Warrior (Former),",Calm Belt,Alive,
Flying Pirates,,November 23rd,,,,,,Ankoro,Pet,,Alive,
Marines,,,,,Woods-Woods Fruit,Logia,,Aramaki,Admiral,,Alive,
Antonio's Graman,,January 21st,,,,,,Antonio,Store owner,,Alive,
,,January 1st,,,,,,Anjo,,,Alive,
Kid Pirates,,,,,,,,N/A,Pirate,,Alive,
,,,,,,,,Mattryoshesses,Princesses,,Alive,
,,,,,,,,Yontamaria Fleet,,,Active,
,,,,,,,,WCI 31 (VIZ),,,,
MADS,65,August 9th,,,Brain-Brain Fruit,Paramecia,,Vegapunk,Scientist,Grand Line,Alive,
,,,,,,,,Vinsmoke Family,,,Extant,
,,,,,,,,Tontatta Pirates,,,Active,
,,,,,,,,Big Mom Pirates,,,Active,
Buggy Pirates,,,,,,,,Tightrope Funan Boros,Pirates,,Alive,
,,,,,,,,,,,Extant,
,,,,,,,,Straw Hat Pirates,,,Active,
,,,,,,,,New Giant Pirates,,,Active,
,,,,,,,,Akazaya Nine,,,,
,,,,,,,,Orochi's Oniwabanshu,,,,
,,,,,,,,,,,Extant,
,,,,,,,,Straw Hat Grand Fleet,,,Active,
,,,,,,,,Numbers,,,,
,,,,,,,,Nefeltari Family,,,Unknown,
Tessle Company,,July 1st (Right Guard),,,,,,N/A,Kaya's security guards,,Alive,
,,,,,,,,Kozuki Clan,,,Active,
,,,,,,,,Atamayama Thieves Brigade,,,Active,
,,,,,,,,Kyoshiro Family,,,,
Rain Dinners,,,,,,,,Koala Gang,Bodyguards,,Alive,
,,,,,,,,Buggy's Band of Pirates,,,Active,
Franky Family,,,,,,,,Herculean Destroyers,Dismantlers; ,,Alive,
,,,,,,,,Mimawarigumi,,,,
,,,,,,,,Kid Pirates,,,,
,,,,,,,,Eleven Righteous Jurors,,,Unknown,
,,,,,,,,100 Doctors (Viz),,,Active,
,,,,,,,,Musketeers,,,Active,
,,,,,,,,,,,Active,
,,,,,,,,Happosui Army (Viz),,,Active,
,,,,,,,,,,,Active,
,,,,,,,,"Five Elders (VIZ, Funimation);",,,Active,
,,,,"14,233,900,000",,,,Four Emperors,,,,
,,,,,,,,Qing Jiao Family (Former); Chinjao Family,,,Active,
,,,,,,,,Beautiful Pirates,,,Active,
,,,,,,,,Charlotte Family,,,Active,
,,,,,,,,Barto Club,,,Active,
,,,,,,,,Animal Kingdom Pirates (VIZ Media and Funimation sub);,,,,
,,,,,,,,Admiral,,,,
